Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
320937472,3904640,106,None,None,None,None,None,None,None,None,None,"26,835","6869,825",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
325670016,12563616,110,499,281,1,8,8,3,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
338686336,6793248,113,None,None,None,None,None,None,None,None,None,"26,835","3944,782",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
