Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
650171648,19494080,106,None,None,None,None,None,None,None,None,None,"134,283","6848,446",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
670199808,21684704,110,1024,683,1,8,8,3,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
693008032,27037824,113,None,None,None,None,None,None,None,None,None,"134,283","4834,198",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
