Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
5414962720,302923552,106,None,None,None,None,None,None,None,None,None,"2049,024","6147,072",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
5718704160,1073457120,110,2000,1334,1,16,16,3,40,"0,002","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
6793353664,416597536,113,None,None,None,None,None,None,None,None,None,"2049,024","4098,048",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
