Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
1680825120,70810944,106,None,None,None,None,None,None,None,None,None,"483,729","6772,212",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
1752381312,178784320,110,1944,1296,1,8,8,3,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
1931783488,97905536,113,None,None,None,None,None,None,None,None,None,"483,729","4837,294",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
