Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
656518880,19485504,106,None,None,None,None,None,None,None,None,None,"134,283","6848,446",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
676546208,124558560,110,2048,1366,1,4,4,3,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
802231296,29548384,113,None,None,None,None,None,None,None,None,None,"134,283","4431,348",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
