Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
654454752,19591776,106,None,None,None,None,None,None,None,None,None,"134,283","6848,446",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
674736576,45424736,110,512,342,1,16,16,3,40,"0,002","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
721209056,27620032,113,None,None,None,None,None,None,None,None,None,"134,283","4834,198",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
