Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
313162240,3923744,106,None,None,None,None,None,None,None,None,None,"26,835","6816,154",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
317897504,28328320,110,997,561,1,4,4,3,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
346675968,6946720,113,None,None,None,None,None,None,None,None,None,"26,835","3837,441",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
