Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
3799533472,141005472,106,None,None,None,None,None,None,None,None,None,"958,169","6707,184",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
3941392352,512097472,110,1368,912,1,16,16,3,40,"0,002","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
4454817632,199226272,113,None,None,None,None,None,None,None,None,None,"958,169","4790,845",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
