Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
655280192,19865216,106,None,None,None,None,None,None,None,None,None,"134,283","6714,163",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
675982080,155274240,110,2048,1366,1,4,4,3,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
831841312,28166240,113,None,None,None,None,None,None,None,None,None,"134,283","4699,914",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
