Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
650199040,19753824,106,None,None,None,None,None,None,None,None,None,"134,283","6714,163",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
670780448,71475296,110,512,342,1,16,16,3,40,"0,002","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
742999104,27846496,113,None,None,None,None,None,None,None,None,None,"134,283","4699,914",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
