Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
331217152,3945696,106,None,None,None,None,None,None,None,None,None,"26,835","6789,319",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
335986592,8335104,110,499,281,1,8,8,1,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
345056608,7044192,113,None,None,None,None,None,None,None,None,None,"26,835","3783,771",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
