Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
321641824,3926944,106,None,None,None,None,None,None,None,None,None,"26,835","6816,154",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
326326816,2634496,110,250,141,1,16,16,1,40,"0,001","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
329494400,6803136,113,None,None,None,None,None,None,None,None,None,"26,835","3917,947",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
