Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
325098368,3850560,106,None,None,None,None,None,None,None,None,None,"26,835","6950,330",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
329698624,4879104,110,250,141,1,16,16,1,40,"0,001","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
335015776,6756416,113,None,None,None,None,None,None,None,None,None,"26,835","3971,617",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
