Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
5406709632,299908320,106,None,None,None,None,None,None,None,None,None,"2049,024","6147,072",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
5707363328,201981792,110,2000,1334,1,16,16,1,40,"0,001","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
5909916704,317771456,113,None,None,None,None,None,None,None,None,None,"2049,024","6147,072",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
