Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
1678568256,71457152,106,None,None,None,None,None,None,None,None,None,"483,729","6288,482",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
1750878784,154359712,110,486,324,1,32,32,1,40,"0,003","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
1905727904,100254080,113,None,None,None,None,None,None,None,None,None,"483,729","4353,565",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
