Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
325643776,3906400,106,None,None,None,None,None,None,None,None,None,"26,835","6842,989",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
330374240,12717184,110,499,281,1,8,8,3,40,"0,000","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
343603680,6984640,113,None,None,None,None,None,None,None,None,None,"26,835","3837,441",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
