Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
1674391552,70724320,106,None,None,None,None,None,None,None,None,None,"483,729","6772,212",Pageable,Device,Orin (0),1,7,[CUDA memcpy HtoD]
1745876192,99224832,110,486,324,1,32,32,1,40,"0,003","0,000",None,,None,None,Orin (0),1,7,"applyGaussianBlur(const uchar3 *, uchar3 *, int, int, unsigned long, int)"
1845737184,97638336,113,None,None,None,None,None,None,None,None,None,"483,729","4837,294",Device,Pageable,Orin (0),1,7,[CUDA memcpy DtoH]
